Phone Name,Phone Price
"REDMI 10A (Sea Blue, 64 GB)","₹8,327"
"REDMI 10A (Charcoal Black, 64 GB)","₹8,150"
"REDMI 10A (Slate grey, 64 GB)","₹8,999"
"REDMI 10 Power (Power Black, 128 GB)","₹13,499"
"REDMI 10 Power (Sporty Orange, 128 GB)","₹13,200"
"Redmi Note 11 (Horizon Blue, 64 GB)","₹12,778"
"Redmi 9A Sport (Carbon Black, 32 GB)","₹7,047"
"Redmi 9A Sport (Metallic Blue, 32 GB)","₹6,770"
"Redmi 9A Sport (Metallic Blue, 32 GB)","₹7,170"
"REDMI 10A (Slate grey, 64 GB)","₹8,679"
"REDMI 10A (Sea Blue, 64 GB)","₹8,690"
"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)","₹28,999"
"Redmi Note 11 (Horizon Blue, 128 GB)","₹14,980"
"Redmi Note 11 (Horizon Blue, 64 GB)","₹13,015"
"REDMI 10A (Charcoal Black, 32 GB)","₹7,475"
"REDMI 10A (Slate Grey, 32 GB)","₹7,629"
"Redmi Note 11 PRO Plus 5G (Stealth Black, 128 GB)","₹20,449"
"Redmi Note 11 (Horizon Blue, 64 GB)","₹13,599"
"Xiaomi 11i 5G (Stealth Black, 128 GB)","₹24,999"
"Redmi 9A Sport (Coral Green, 32 GB)","₹6,769"
"REDMI Note 11 Pro (Star blue, 128 GB)","₹18,380"
"REDMI Note 11T 5G (Matte black, 128 GB)","₹20,999"
"Redmi Note 11 (Space Black, 64 GB)","₹13,990"
"Redmi 9A (SeaBlue, 32 GB)","₹6,989"
"REDMI Note 11 Pro (Phantom White, 128 GB)","₹19,990"
"Redmi Note 11 (Space Black, 128 GB)","₹14,499"
"Redmi Note 11 PRO Plus 5G (Mirage Blue, 128 GB)","₹20,780"
"Redmi Note 11 PRO Plus 5G (Mirage Blue, 256 GB)","₹24,399"
"Xiaomi 11i 5G (Stealth Black, 128 GB)","₹26,999"
"Redmi Note 11 PRO Plus 5G (Phantom White, 128 GB)","₹21,450"
"REDMI Note 11 Pro (Stealth Black, 128 GB)","₹17,990"
"Redmi 6 Pro (Gold, 32 GB)","₹8,999"
"Redmi 9A (Midnight Black, 32 GB)","₹7,869"
"REDMI Note 11T 5G (Stardust White, 128 GB)","₹19,700"
"Xiaomi 11i 5G (Purple Mist, 128 GB)","₹24,999"
"REDMI Note 11 Pro (Star Blue, 128 GB)","₹19,980"
"Redmi Note 11 (Starburst White, 64 GB)","₹13,790"
"REDMI Note 11T 5G (Stardust White, 64 GB)","₹15,755"
"Xiaomi 11i Hypercharge 5G (Stealth Black, 128 GB)","₹26,999"
"�Note 11 (Starburst White, 64 GB)","₹12,299"
"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)","₹28,999"
"Redmi Note 11 PRO Plus 5G (Stealth Black, 128 GB)","₹20,594"
"Redmi Note 9 Pro (Interstellar Black, 128 GB)","₹13,990"
"Mi 11 Lite (Tuscany Coral, 128 GB)","₹21,899"
"Mi A2 (Gold, 64 GB)","₹17,499"
"Redmi 9A Sport (Coral Green, 32 GB)","₹7,978"
"Xiaomi 11Lite NE (Vinyl Black, 128 GB)","₹24,490"
"Redmi Note 11 PRO Plus 5G (Phantom White, 128 GB)","₹22,199"
"Redmi 8 (Emerald Green, 64 GB)","₹10,749"
"Mi 10T Pro (Lunar Silver, 128 GB)","₹29,980"
"REDMI 10 Power (Power Black, 128 GB)","₹13,998"
"REDMI 10 Power (Sporty Orange, 128 GB)","₹13,990"
"Mi 11 Lite (Vinyl Black, 128 GB)","₹21,999"
"Redmi 9A Sport (Carbon Black, 32 GB)","₹7,999"
"Redmi 9A Sport (Metallic Blue, 32 GB)","₹7,999"
"Redmi Go (Blue, 16 GB)","₹5,049"
"Redmi Note 7S (Sapphire Blue, 32 GB)","₹11,999"
"Redmi Note 11 (Space Black, 64 GB)","₹11,980"
"Mi 10T (Cosmic Black, 128 GB)","₹35,999"
"REDMI Note 10 lite (Glacier White, 64 GB)","₹13,998"
"Redmi 8 (Ruby Red, 64 GB)","₹10,749"
"Redmi 7A (Matte Blue, 32 GB)","₹6,999"
"Redmi Note 7S (Onyx Black, 32 GB)","₹11,999"
"Redmi 8A Dual (Midnight Grey, 32 GB)","₹8,999"
"REDMI NOTE 10 LITE (Glacier White, 128 GB)","₹13,889"
"Redmi 8A Dual (Sky White, 32 GB)","₹8,999"
"Redmi 8A Dual (Midnight Grey, 64 GB)","₹9,999"
"Mi 11X Pro 5G (Lunar White, 128 GB)","₹32,499"
"Redmi Note 7 Pro (Blue, 64 GB)","₹15,999"
"Redmi Note 7 Pro (Nebula Red, 64 GB)","₹15,999"
"Mi 11 Lite (Jazz Blue, 128 GB)","₹21,999"
"Xiaomi 11i 5G (Pacific Pearl, 128 GB)","₹24,999"
